UtcDateTime,LaneIndex,Action
10/04/2021 14:07:43,-1,"Miss: 0.986810493469238, 0.506588579795022"
10/04/2021 14:07:43,-1,"Miss: 0.986176872253418, 0.506588579795022"
10/04/2021 14:07:43,-1,"Miss: 0.98476095199585, 0.505120116830047"
10/04/2021 14:07:43,-1,"Miss: 0.983873558044434, 0.503922469444889"
10/04/2021 14:07:43,-1,"Miss: 0.983095550537109, 0.502726654008053"
10/04/2021 14:07:43,-1,"Miss: 0.9828125, 0.502928257686676"
10/04/2021 14:07:43,-1,"Miss: 0.9828125, 0.502928257686676"
10/04/2021 14:07:45,1,"damage=Medium"
10/04/2021 14:07:45,2,"damage=Medium"
10/04/2021 14:07:45,3,"damage=Medium"
10/04/2021 14:07:45,4,"damage=Medium"
10/04/2021 14:07:45,5,"damage=Medium"
10/04/2021 14:07:45,6,"damage=Medium"
10/04/2021 14:07:49,1,"open"
10/04/2021 14:07:49,2,"open"
10/04/2021 14:08:06,2,"close"
10/04/2021 14:08:08,1,"close"
10/04/2021 14:08:10,1,"open"
10/04/2021 14:08:12,-1,"Miss: 0.0828125, 0.134699853587116"
10/04/2021 14:08:12,-1,"Miss: 0.0828125, 0.134699853587116"
10/04/2021 14:08:12,-1,"Miss: 0.0828125, 0.134699853587116"
10/04/2021 14:08:12,-1,"Miss: 0.0828125, 0.133125495072863"
10/04/2021 14:08:12,-1,"Miss: 0.0825001001358032, 0.131332732573435"
10/04/2021 14:08:12,-1,"Miss: 0.0818656921386719, 0.128954863653001"
10/04/2021 14:08:12,-1,"Miss: 0.0812451183795929, 0.12662884780638"
10/04/2021 14:08:12,-1,"Miss: 0.0799622356891632, 0.124965840866067"
10/04/2021 14:08:12,-1,"Miss: 0.0796875, 0.124450951683748"
10/04/2021 14:08:12,-1,"Miss: 0.0796875, 0.124450951683748"
10/04/2021 14:08:14,4,"open"
10/04/2021 14:08:19,5,"open"
10/04/2021 14:08:21,6,"open"
10/04/2021 14:08:32,2,"open"
10/04/2021 14:08:33,3,"open"
10/04/2021 14:08:59,-1,"Miss: 0.051171875, 0.904831625183016"
10/04/2021 14:08:59,-1,"Miss: 0.051171875, 0.904831625183016"
10/04/2021 14:09:03,3,"close"
10/04/2021 14:09:04,2,"close"
10/04/2021 14:09:05,1,"close"
10/04/2021 14:09:07,4,"close"
10/04/2021 14:09:07,5,"close"
10/04/2021 14:09:07,6,"close"
10/04/2021 14:09:17,1,"cause=Dome"
10/04/2021 14:09:17,2,"cause=Dome"
10/04/2021 14:09:17,3,"cause=Dome"
10/04/2021 14:09:19,-1,"Miss: 0.985546875, 0.517569546120059"
10/04/2021 14:09:19,-1,"Miss: 0.98544282913208, 0.517569546120059"
10/04/2021 14:09:19,-1,"Miss: 0.98515625, 0.516450538467698"
10/04/2021 14:09:19,-1,"Miss: 0.98515625, 0.515259816740826"
10/04/2021 14:09:19,-1,"Miss: 0.98515625, 0.515373352855051"
10/04/2021 14:09:23,4,"cause=Dome"
10/04/2021 14:09:23,5,"cause=Dome"
10/04/2021 14:09:23,6,"cause=Dome"
10/04/2021 14:09:24,-1,"Miss: 0.04765625, 0.44289897510981"
10/04/2021 14:09:24,-1,"Miss: 0.04765625, 0.443794931883693"
10/04/2021 14:09:24,-1,"Miss: 0.04765625, 0.444997583615483"
10/04/2021 14:09:24,-1,"Miss: 0.0482457548379898, 0.446945391497186"
10/04/2021 14:09:24,-1,"Miss: 0.0488842070102692, 0.450534937846015"
10/04/2021 14:09:24,-1,"Miss: 0.0495259165763855, 0.454142758996385"
10/04/2021 14:09:24,-1,"Miss: 0.049609375, 0.457596830532806"
10/04/2021 14:09:24,-1,"Miss: 0.049609375, 0.461221988169725"
10/04/2021 14:09:24,-1,"Miss: 0.04921875, 0.463396778916545"
10/04/2021 14:09:24,-1,"Miss: 0.04921875, 0.463396778916545"
10/04/2021 14:09:30,1,"damage=Low"
10/04/2021 14:09:30,2,"damage=Low"
10/04/2021 14:09:30,3,"damage=Low"
10/04/2021 14:09:30,4,"damage=Low"
10/04/2021 14:09:30,5,"damage=Low"
10/04/2021 14:09:30,6,"damage=Low"
10/04/2021 14:09:32,-1,"Miss: 0.051953125, 0.309663250366032"
10/04/2021 14:09:32,-1,"Miss: 0.051953125, 0.309663250366032"
10/04/2021 14:09:32,-1,"Miss: 0.051953125, 0.311053565096541"
10/04/2021 14:09:32,-1,"Miss: 0.051953125, 0.312254921060006"
10/04/2021 14:09:32,-1,"Miss: 0.051953125, 0.313437466041934"
10/04/2021 14:09:32,-1,"Miss: 0.051953125, 0.314654326543626"
10/04/2021 14:09:32,-1,"Miss: 0.051953125, 0.31515373352855"
10/04/2021 14:09:32,-1,"Miss: 0.051953125, 0.31515373352855"
10/04/2021 14:09:32,-1,"Miss: 0.051953125, 0.31515373352855"
10/04/2021 14:09:32,-1,"Miss: 0.053151661157608, 0.314396692055385"
10/04/2021 14:09:32,-1,"Miss: 0.0548638761043549, 0.31321338748513"
10/04/2021 14:09:32,-1,"Miss: 0.0668214559555054, 0.308004577547355"
10/04/2021 14:09:32,-1,"Miss: 0.0821133852005005, 0.301417919063987"
10/04/2021 14:09:32,-1,"Miss: 0.0974131524562836, 0.295452425106378"
10/04/2021 14:09:32,-1,"Miss: 0.113060712814331, 0.29049074946525"
10/04/2021 14:09:32,-1,"Miss: 0.127517366409302, 0.288524488055339"
10/04/2021 14:09:32,-1,"Miss: 0.13961193561554, 0.287296233728724"
10/04/2021 14:09:32,-1,"Miss: 0.150434863567352, 0.286103143873536"
10/04/2021 14:09:32,-1,"Miss: 0.159886014461517, 0.286828506045251"
10/04/2021 14:09:32,-1,"Miss: 0.167688798904419, 0.288023651257092"
10/04/2021 14:09:32,-1,"Miss: 0.174490594863892, 0.287701317715959"
10/04/2021 14:09:32,-1,"Miss: 0.180576610565186, 0.287701317715959"
10/04/2021 14:09:32,-1,"Miss: 0.18572872877121, 0.287701317715959"
10/04/2021 14:09:33,-1,"Miss: 0.190128707885742, 0.287701317715959"
10/04/2021 14:09:33,-1,"Miss: 0.193723845481873, 0.287701317715959"
10/04/2021 14:09:33,-1,"Miss: 0.19453125, 0.287701317715959"
10/04/2021 14:09:33,-1,"Miss: 0.19453125, 0.287701317715959"
10/04/2021 14:09:33,-1,"Miss: 0.830078125, 0.355783308931186"
10/04/2021 14:09:33,-1,"Miss: 0.830078125, 0.357115850267089"
10/04/2021 14:09:33,-1,"Miss: 0.830378818511963, 0.360402052782989"
10/04/2021 14:09:33,-1,"Miss: 0.831026363372803, 0.367177535988401"
10/04/2021 14:09:33,-1,"Miss: 0.831665229797363, 0.373629077112692"
10/04/2021 14:09:33,-1,"Miss: 0.83203125, 0.379787327778985"
10/04/2021 14:09:33,-1,"Miss: 0.83203125, 0.384378547724309"
10/04/2021 14:09:33,-1,"Miss: 0.831681442260742, 0.388496856912861"
10/04/2021 14:09:33,-1,"Miss: 0.831640625, 0.392821908171669"
10/04/2021 14:09:33,-1,"Miss: 0.831640625, 0.395514782839952"
10/04/2021 14:09:33,-1,"Miss: 0.8323317527771, 0.397905341353633"
10/04/2021 14:09:33,-1,"Miss: 0.835186290740967, 0.400315336392181"
10/04/2021 14:09:33,-1,"Miss: 0.841183567047119, 0.398946513543192"
10/04/2021 14:09:33,-1,"Miss: 0.854407119750977, 0.396538127044633"
10/04/2021 14:09:33,-1,"Miss: 0.869553756713867, 0.394152170742588"
10/04/2021 14:09:33,-1,"Miss: 0.88805685043335, 0.391043979985473"
10/04/2021 14:09:33,-1,"Miss: 0.912473678588867, 0.387531643556117"
10/04/2021 14:09:34,-1,"Miss: 0.987771034240723, 0.373128731812775"
10/04/2021 14:09:34,-1,"Miss: 0.988258361816406, 0.374774089494876"
10/04/2021 14:09:34,-1,"Miss: 0.988892364501953, 0.375962309048431"
10/04/2021 14:09:34,-1,"Miss: 0.989525508880615, 0.376281112737921"
10/04/2021 14:09:34,-1,"Miss: 0.990477752685547, 0.37701317715959"
10/04/2021 14:09:34,-1,"Miss: 0.991743183135986, 0.378060917554104"
10/04/2021 14:09:34,-1,"Miss: 0.993026828765869, 0.379263792694226"
10/04/2021 14:09:34,-1,"Miss: 0.993359375, 0.379941434846266"
10/04/2021 14:09:34,-1,"Miss: 0.993359375, 0.379941434846266"
10/04/2021 14:09:35,-1,"Miss: 0.993359375, 0.330893118594436"
10/04/2021 14:09:35,-1,"Miss: 0.993359375, 0.331932548199007"
10/04/2021 14:09:35,-1,"Miss: 0.993359375, 0.333388857750732"
10/04/2021 14:09:35,-1,"Miss: 0.993359375, 0.334593877610839"
10/04/2021 14:09:35,-1,"Miss: 0.99296875, 0.335793982487646"
10/04/2021 14:09:35,-1,"Miss: 0.99296875, 0.337005704597708"
10/04/2021 14:09:35,-1,"Miss: 0.992224884033203, 0.338875811061608"
10/04/2021 14:09:35,-1,"Miss: 0.991379451751709, 0.340460088905792"
10/04/2021 14:09:35,-1,"Miss: 0.989187335968018, 0.343711841856927"
10/04/2021 14:09:35,-1,"Miss: 0.978338146209717, 0.347276813289257"
10/04/2021 14:09:35,-1,"Miss: 0.954771232604981, 0.35079348384025"
10/04/2021 14:09:35,-1,"Miss: 0.922035884857178, 0.34231781854811"
10/04/2021 14:09:35,-1,"Miss: 0.923046875, 0.342606149341142"
10/04/2021 14:10:08,-1,"Miss: 0.906640625, 0.997071742313324"
10/04/2021 14:10:08,-1,"Miss: 0.90625, 0.997939370910734"
10/04/2021 14:10:08,-1,"Miss: 0.90625, 0.997803806734993"
10/04/2021 14:10:08,-1,"canceled"
10/04/2021 14:10:26,6,"open"
10/04/2021 14:10:28,5,"open"
10/04/2021 14:10:28,4,"open"
10/04/2021 14:10:30,1,"open"
10/04/2021 14:10:33,1,"close"
10/04/2021 14:10:39,-1,"Miss: 0.956640625, 0.894582723279649"
10/04/2021 14:10:39,-1,"Miss: 0.956640625, 0.895722641951867"
10/04/2021 14:10:39,-1,"Miss: 0.957278728485107, 0.896778916544656"
10/04/2021 14:10:39,-1,"Miss: 0.957917404174805, 0.896778916544656"
10/04/2021 14:10:39,-1,"Miss: 0.960058689117432, 0.896778916544656"
10/04/2021 14:10:39,-1,"Miss: 0.9609375, 0.896046852122987"
10/04/2021 14:10:39,-1,"Miss: 0.9609375, 0.896046852122987"
10/04/2021 14:10:40,6,"close"
10/04/2021 14:10:41,5,"close"
10/04/2021 14:10:43,4,"close"
10/04/2021 14:10:47,-1,"Miss: 0.9359375, 0.0695461200585652"
10/04/2021 14:10:47,-1,"Miss: 0.9359375, 0.0708900328785574"
10/04/2021 14:10:47,-1,"Miss: 0.936512660980225, 0.0720881047395452"
10/04/2021 14:10:48,-1,"Miss: 0.937600231170654, 0.0741263929956305"
10/04/2021 14:10:48,-1,"Miss: 0.938883399963379, 0.0757990958575449"
10/04/2021 14:10:48,-1,"Miss: 0.940165424346924, 0.0771681867965319"
10/04/2021 14:10:48,-1,"Miss: 0.942179584503174, 0.0790554957019811"
10/04/2021 14:10:48,-1,"Miss: 0.9421875, 0.0790629575402635"
10/04/2021 14:10:48,-1,"Miss: 0.9421875, 0.0790629575402635"
10/04/2021 14:10:49,6,"open"
10/04/2021 14:10:49,5,"open"
10/04/2021 14:10:50,4,"open"
10/04/2021 14:10:59,3,"open"
10/04/2021 14:10:59,2,"open"
10/04/2021 14:10:59,1,"open"
10/04/2021 14:11:03,3,"close"
10/04/2021 14:11:06,2,"close"
10/04/2021 14:11:08,1,"close"
10/04/2021 14:11:14,6,"close"
10/04/2021 14:11:15,5,"close"
